	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
302	Bajo	No tiene cobertura	NA	Trabajo, Jubilación / Pensión	Asignación Universal por Hijo	Trabajo informal (en negro)	En la escuela	Sentirse discriminado a la hora de solicitar atención, Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	Acceder al seguimiento de los servicios médicos, Aislar en el hogar a las personas contagiadas	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
303	Bajo	PROFE	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Eventual (por changas)	Ayuda de familiares o amigos, En la escuela, Otro	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
304	Medio Bajo	PAMI	Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión, Programa estatal	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Sentirse discriminado a la hora de solicitar atención, Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
305	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	NA
306	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ayuda de familiares o amigos	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
307	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Trabajo informal (en negro), Eventual (por changas)	En la escuela, Otro	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
308	Medio Bajo	No tiene cobertura	NA	Trabajo, Programa estatal, Ayuda social o familiar	Asignación Universal por Hijo	Empresa o negocio propio	Comedor o merendero barrial	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
309	Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Ninguna de las anteriores	Eventual (por changas)	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
310	Alto	Obra social por trabajo o sindicato, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
311	Medio	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
312	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	Ninguna de las anteriores	A través de redes sociales, A través de familiares/amigos/vecinos	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
313	Medio	Obra social por trabajo o sindicato	Atención médica básica	Trabajo	Ninguna de las anteriores	Empresa o negocio propio	Ayuda de familiares o amigos	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
314	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Termino pagando a parte una operación por problemas de la obra social	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	NA
315	Medio	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Llamaron al servicio de emergencia y no llegó	NA	NA	NA
316	Medio	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal, Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
317	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Otra fuente	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de redes sociales, A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
318	Bajo	PAMI, No tiene cobertura	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión, Programa estatal	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
319	Alto	PAMI	Atención médica básica, Atención odontológica, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Sentirse discriminado a la hora de solicitar atención, Dificultades económicas para afrontar los gastos en salud., Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	NA
320	Medio alto	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No conocer cómo solicitar turnos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos	NA
321	Alto	Obra social por trabajo o sindicato, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
322	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención	Acceder a información sobre síntomas/cuidados/prevención frente al COVID19, Acceder al testeo en caso de tener síntomas, Acceder al seguimiento de los servicios médicos, Aislar en el hogar a las personas contagiadas	Otras	A través de los docentes o directivos de las instituciones educativas
323	Alto	Prepaga por pago voluntario	Atención médica básica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión, Otra fuente	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
324	Medio alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
325	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	NA	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios)	NA
326	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
327	Alto	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	NA
328	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Ayuda social o familiar, Otra fuente	Ninguna de las anteriores	Empresa o negocio propio	Ayuda de familiares o amigos	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
329	Medio	Obra social por trabajo o sindicato, Otra cobertura	Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
330	Medio	PAMI	Atención médica básica	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios)	NA
331	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
332	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Apoyo escolar	Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
333	Alto	Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal, Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
334	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
335	Alto	Prepaga por pago voluntario	Atención médica básica, Estudios complementarios y análisis	Trabajo, Ayuda social o familiar	Ninguna de las anteriores	Trabajo informal (en negro)	Ayuda de familiares o amigos	Vivir lejos de los centros de atención médica, Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	NA
336	Alto	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de los propios servicios de salud	NA
337	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
338	Alto	Obra social por trabajo o sindicato, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
339	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
340	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención en salud mental, Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal, Eventual (por changas)	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de redes sociales
341	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
342	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	NA	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios)	NA
343	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
344	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
345	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención en salud mental, Ns / Nc	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta, No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas
346	Alto	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de los docentes o directivos de las instituciones educativas
347	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Empresa o negocio propio	Ninguno	No tuvo ninguna dificultad	NA	NA	NA	NA
348	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Empresa o negocio propio	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de redes sociales, A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
349	Alto	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Estudios complementarios y análisis, Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal, Trabajo informal (en negro)	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas
350	Medio	Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de los propios servicios de salud, Otras	A través de los docentes o directivos de las instituciones educativas
351	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención en salud mental, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	NA
352	Medio	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos, Otras	NA
353	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	NA
354	Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Asignación Universal por Hijo	Eventual (por changas)	Ayuda de familiares o amigos, Otro	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	NA	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
355	Bajo	No tiene cobertura	NA	Jubilación / Pensión	Asignación Universal por Hijo	Jubilación / pensión	Grupo de mujeres / Organización feminista, Ayuda de familiares o amigos, En la escuela	Sentirse discriminado a la hora de solicitar atención, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
356	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	NA	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
357	Medio alto	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	NA	Ninguno	NA	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
358	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica	Trabajo, Programa estatal, Ayuda social o familiar	NA	Trabajo formal	Ninguno	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
359	Medio alto	PROFE	Atención médica básica	Jubilación / Pensión, Programa estatal, Ayuda social o familiar	Salario Social Complementario	Jubilación / pensión, Plan o programa estatal	En la escuela	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
360	Medio alto	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
361	Medio Bajo	No tiene cobertura	NA	Programa estatal, Ayuda social o familiar	Otras	Eventual (por changas)	Ayuda de familiares o amigos	No conocer dónde recurrir cuando necesita atención médica, Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Posponer intervenciones quirúrgicas	NA	A través de medios masivos (televisión/radio/diarios)	NA
362	Medio alto	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
363	Medio alto	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
